#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
Ibis (journal)	1	Ibis	NULL	Ibis	NULL	United Kingdom	NULL	NULL	Ornithology	NULL	Wiley-Blackwell on behalf of the British Ornithologists' Union	1859–present	NULL	NULL	1.804	2015	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Mathematische Annalen	1	Mathematische Annalen	NULL	Math. Ann.	German, English, French	Germany	NULL	NULL	mathematics	NULL	Springer	1869–present	NULL	NULL	1.297	2011	NULL	NULL	28024764	NULL	NULL	1432-1807	NULL
Demokratizatsiya (journal)	1	Demokratizatsiya	NULL	Demokratizatsiya	NULL	United States	NULL	NULL	Political science	NULL	Institute for European, Russian and Eurasian Studies (George Washington University)	1992-present								222569720	NULL	1940-4603	NULL
Innovations in Systems and Software Engineering	1	Innovations in Systems and Software Engineering	NULL	Innov. Syst. Softw. Eng.	NULL		NULL	NULL	Systems and software engineering	NULL	Springer Science+Business Media on behalf of NASA	2005–present	Hybrid				NULL	NULL	2007222334	440749737	NULL	1614-5054	NULL
Journal of the British Interplanetary Society	1	Journal of the British Interplanetary Society	NULL	J. Br. Interplanet. Soc.	NULL	United Kingdom	NULL	NULL	Astronautics, space flight, astrophysics	NULL	British Interplanetary Society	1934–present					JBISAW		sn94095765	219841048	NULL	NULL	NULL
Arkivoc	1	Arkivoc	NULL	Arkivoc	NULL		NULL	NULL	Organic chemistry	NULL	Arkat USA	2000–present	Yes	NULL	1.165	2014	AKVCFI	NULL	2007216062	443560056	NULL	1551-7012	NULL
The BMJ	1	The BMJ	NULL	BMJ	NULL	United Kingdom	NULL	NULL	Medicine	NULL	BMJ	1840–present	Immediate, research articles only	Creative Commons Attribution Non-commercial License	17.445	2014	DXRA5	09598138	97640199	32595642	NULL	1756-1833	NULL
JAMA Surgery	1	JAMA Surgery	NULL	JAMA Surg.	English	United States	NULL	NULL	NULL	NULL	American Medical Association	1920-present	NULL	NULL	7.956	2016	NULL	NULL	NULL	NULL	NULL	2168-6262	NULL
Nature Reviews Urology	1	Nature Reviews Urology	NULL	Nat. Rev. Urol.	NULL		NULL	NULL	Urology	NULL	Nature Publishing Group	2004–present		NULL	7.735	2016	NRNADQ			318124628	NULL	1759-4820	NULL
Lingua (journal)	1	Lingua: An International Review of General Linguistics	NULL	NULL	NULL		NULL	NULL	General linguistics	NULL	Elsevier	1949-present	NULL	NULL	0.547	2009	NULL	NULL	52036290	1755938	NULL	NULL	NULL
Monumenta Nipponica	1	Monumenta Nipponica	NULL			Japan	NULL	NULL	Japanese studies	NULL	Sophia University	1938-present						00270741			NULL	1880-1390	NULL
Intelligence (journal)	1	Intelligence	NULL	NULL	NULL		NULL	NULL	Intelligence, psychometrics	NULL	Elsevier	1977-present	NULL	NULL	3.245	2014	NTLLDT	NULL	77643155	03334510	NULL	NULL	NULL
Topology (journal)	1	Topology	NULL	NULL	NULL	NULL	NULL	NULL	Topology	NULL	Elsevier	1962–2009	NULL	NULL	0.227	2011	TPLGAF	NULL	65002707	77547955	NULL	NULL	NULL
Journal of Conflict Resolution	1	NULL	NULL	J. Confl. Resolut.	NULL		NULL	NULL	Peace and conflict studies	NULL	Sage Publications	1957–present		NULL	1.687	2015	NULL	00220027	59062807	615542569	NULL	1552-8766	NULL
Geophysical Research Letters	1	NULL	NULL	Geophys. Res. Lett.	NULL	United States	NULL	NULL	Geophysics, Earth science, space science	NULL	American Geophysical Union	1974—present	"Frontier Articles" section		4.253	2016	GPRLAJ		74646541	1795290	NULL	1944-8007	NULL
KronoScope	1	KronoScope	NULL		NULL	The Netherlands	NULL	NULL	Interdisciplinary	NULL	Brill Publishers	2001-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Speculum (journal)	1	Speculum	NULL		NULL		NULL	NULL	Medieval studies	NULL	Cambridge University Press on behalf of the Medieval Academy of America	1926-present		NULL				00387134	27015446	35801878	NULL	2040-8072	NULL
Middle East Quarterly	1	Middle East Quarterly	NULL	MEQ	NULL	United States	NULL	NULL	Middle East and Islam	NULL	Middle East Forum	1994-present	Yes	NULL			MEQUFZ		94660065	644061932	NULL	NULL	NULL
Biochemical Journal	1	Biochemical Journal	NULL	Biochem. J.	NULL		NULL	NULL	Biochemistry	NULL	Portland Press	1906–present	After 12 months/hybrid		4.396	2014	BIJOAK		26011128	01532962	NULL	1470-8728	NULL
American Journal of Psychiatry	1	American Journal of Psychiatry	NULL	Am. J. Psychiatry	NULL	United States	NULL	NULL	Psychiatry	NULL	American Psychiatric Association	1844–present			12.295	2014	AJPSAO		22024537	1480183	NULL	1535-7228	NULL
British Council	1	Media in Education and Development	NULL	Media Educ. Dev.	NULL	United Kingdom	NULL	NULL		NULL	NULL	1967–1989	NULL	NULL			NULL	NULL	NULL	8210712	NULL		NULL
